LocusID	GOterm	GOdesc	Ontology
Solyc00g005285	GO:0008171	O-methyltransferase activity	MF
Solyc00g006483	GO:0003677	DNA binding	MF
Solyc00g019730	GO:0015002	GO:0015002	
Solyc00g019730	GO:0016020	membrane	CC
Solyc00g019950	GO:0008137	NADH dehydrogenase (ubiquinone) activity	MF
Solyc00g019950	GO:0055114	oxidoreductase process	MF
Solyc00g021630	GO:0008137	NADH dehydrogenase (ubiquinone) activity	MF
Solyc00g021630	GO:0055114	oxidoreductase process	MF
Solyc00g021660	GO:0033926	glycopeptide alpha-N-acetylgalactosaminidase activity	MF
Solyc00g028960	GO:0009055	electron transfer activity	MF
Solyc00g028960	GO:0015035	protein-disulfide reductase activity	MF
Solyc00g028960	GO:0045454	cell redox homeostasis	BP
Solyc00g032030	GO:0005634	nucleus	CC
Solyc00g032030	GO:0006511	ubiquitin-dependent protein catabolic process	BP
Solyc00g032030	GO:0007275	multicellular organism development	BP
Solyc00g042640	GO:0000723	telomere maintenance	BP
Solyc00g042640	GO:0003678	DNA helicase activity	MF
Solyc00g042640	GO:0006281	DNA repair	BP
Solyc00g047200	GO:0009055	electron transfer activity	MF
Solyc00g047200	GO:0016020	membrane	CC
Solyc00g047200	GO:0016491	oxidoreductase activity	MF
Solyc00g049210	GO:0017004	cytochrome complex assembly	BP
Solyc00g049210	GO:0020037	heme binding	MF
Solyc00g094530	GO:0016020	membrane	CC
Solyc00g094530	GO:0055114	oxidoreductase process	MF
Solyc00g135260	GO:0016747	"acyltransferase activity	 transferring groups other than amino-acyl groups"	MF
Solyc00g160020	GO:0016021	integral component of membrane	CC
Solyc00g160060	GO:0015002	GO:0015002	
Solyc00g160060	GO:0016020	membrane	CC
Solyc00g160110	GO:0003735	structural constituent of ribosome	MF
Solyc00g160110	GO:0005622	intracellular anatomical structure	CC
Solyc00g160110	GO:0005840	ribosome	CC
Solyc00g160110	GO:0006412	translation	BP
Solyc00g160670	GO:0017004	cytochrome complex assembly	BP
Solyc00g160670	GO:0020037	heme binding	MF
Solyc00g180440	GO:0003735	structural constituent of ribosome	MF
Solyc00g180440	GO:0005622	intracellular anatomical structure	CC
Solyc00g180440	GO:0005840	ribosome	CC
Solyc00g180440	GO:0006412	translation	BP
Solyc00g180440	GO:0019843	rRNA binding	MF
Solyc00g230070	GO:0009521	photosystem	CC
Solyc00g230070	GO:0009767	photosynthetic electron transport chain	BP
Solyc00g230070	GO:0016020	membrane	CC
Solyc00g230070	GO:0016168	chlorophyll binding	MF
Solyc00g230070	GO:0019684	"photosynthesis	 light reaction"	BP
Solyc00g230080	GO:0009772	photosynthetic electron transport in photosystem II	BP
Solyc00g230080	GO:0019684	"photosynthesis	 light reaction"	BP
Solyc00g230080	GO:0045156	"electron transporter	 transferring electrons within the cyclic electron transport pathway of photosynthesis activity"	MF
Solyc00g277510	GO:0009772	photosynthetic electron transport in photosystem II	BP
Solyc00g277510	GO:0019684	"photosynthesis	 light reaction"	BP
